-bash: !~: event not found
           relname           | n_live_tup |   size   | n_tup_ins |          last_stats
 equity_metrics_z_202502     |       4596 | 8312 kB  |      4596 | 2026-09-01 10:40:59.961192+00
 equity_metrics_202503       |       5082 | 15 MB    |      5082 | 2026-09-01 10:41:02.869721+00
 equity_metrics_z_202503     |       5082 | 10056 kB |      5082 | 2026-09-01 10:41:05.038718+00
 equity_metrics_202504       |       5076 | 17 MB    |      5076 | 2026-09-01 10:41:07.6546+00
 equity_metrics_202505       |       5075 | 13 MB    |      5075 | 2026-09-01 10:41:10.323849+00
 equity_metrics_z_202504     |       5076 | 18 MB    |      5076 | 2026-09-01 10:41:15.015684+00
 equity_metrics_z_202505     |       5075 | 15 MB    |      5075 | 2026-09-01 10:41:18.751733+00
 equity_metrics_202506       |       4815 | 12 MB    |      4815 | 2026-09-01 10:41:20.879204+00
 equity_metrics_z_202506     |       4815 | 17 MB    |      4815 | 2026-09-01 10:41:25.436706+00
 equity_surface_202512       |     999712 | 232 MB   |    999712 | 2026-09-01 10:41:27.16083+00
 equity_surface_202508       |     972098 | 225 MB   |    972098 | 2026-09-01 10:41:29.16511+00
 equity_surface_202509       |     977919 | 227 MB   |    977919 | 2026-09-01 10:41:30.840693+00
 equity_surface_202510       |    1080804 | 250 MB   |   1080804 | 2026-09-01 10:41:32.432314+00
 equity_metrics              |          0 | 0 bytes  |         0 | 2026-09-01 10:41:47.637931+00
 equity_metrics_202606       |       5080 | 25 MB    |      5080 | 2026-09-01 10:41:49.958466+00
 equity_metrics_202601       |       4840 | 23 MB    |      4840 | 2026-09-01 10:41:52.31322+00
 equity_metrics_202602       |       4598 | 22 MB    |      4598 | 2026-09-01 10:41:54.432688+00
 equity_metrics_202603       |       5324 | 26 MB    |      5324 | 2026-09-01 10:41:56.850341+00
 equity_metrics_202604       |       5082 | 24 MB    |      5082 | 2026-09-01 10:41:59.407949+00
 equity_metrics_202605       |       4840 | 23 MB    |      4840 | 2026-09-01 10:42:02.087318+00
 equity_metrics_202607       |       5324 | 25 MB    |      5324 | 2026-09-01 10:42:04.895449+00
 equity_metrics_202608       |      56870 | 138 MB   |     56991 | 2026-09-01 10:42:20.011187+00
 equity_metrics_202507       |       3652 | 16 MB    |      3652 | 2026-09-01 10:42:21.774072+00
 equity_metrics_202508       |       3570 | 16 MB    |      3570 | 2026-09-01 10:42:23.462218+00
 equity_metrics_202509       |       3570 | 16 MB    |      3570 | 2026-09-01 10:42:25.083552+00
 equity_metrics_202510       |       3910 | 17 MB    |      3910 | 2026-09-01 10:42:26.786661+00
 equity_metrics_202511       |       3230 | 15 MB    |      3230 | 2026-09-01 10:42:28.184539+00
 equity_metrics_202512       |       3740 | 16 MB    |      3740 | 2026-09-01 10:42:30.613741+00
 equity_metrics_z            |          0 | 0 bytes  |         0 | 2026-09-01 10:42:59.210251+00
 equity_metrics_z_202606     |       5080 | 24 MB    |      5080 | 2026-09-01 10:43:04.706697+00
 equity_metrics_z_202601     |       4840 | 14 MB    |      4840 | 2026-09-01 10:43:08.279749+00
 equity_metrics_z_202602     |       4598 | 17 MB    |      4598 | 2026-09-01 10:43:12.060453+00
 equity_metrics_z_202603     |       5324 | 19 MB    |      5324 | 2026-09-01 10:43:16.269441+00
 equity_metrics_z_202604     |       5082 | 24 MB    |      5082 | 2026-09-01 10:43:21.507243+00
 equity_metrics_z_202605     |       4840 | 23 MB    |      4840 | 2026-09-01 10:43:26.560208+00
